Заголовок,Время публикации,Описание,Ссылка
В США разрабатывают первые в мире геотермальные электростанции для военных целей,1 день назад,"В СШАначнут строительствопервых в мире геотермальных электростанций, предназначенных для военных объектов. Компании Baker Hughes поручено изучить потенциал этой технологии, чтобы обеспечить военные базы стабильным источником энергии. Инициатива поддерживается ВВС США и управлением цифровых технологий и искусственного интеллекта. Компания Baker Hughes получила статус «Awardable», что позволяет ей разрабатывать крупные геотермальные станции. Эти объекты смогут обеспечивать военные базы электричеством даже в случае аварий на центральных сетях. По данным Геологической службы США, на западе страны находится около 500 000 МВт потенциальных геотермальных ресурсов. Для получения энергии из таких источников обычно применяется метод закачки жидкости вглубь земли. Из-за нее в горных породах появляются новые трещины и циркуляцию горячей воды запускается. Это тепло затем используется для генерации электричества. Военные заинтересованы в геотермальной энергетике, поскольку она предлагает устойчивую альтернативу традиционным источникам энергии. В 2024-м году компания Sage Geosystems также заключила контракт с ВВС США для тестирования подобной системы Geopressured Geothermal Systems (GGS) в Техасе. Их метод сочетал использование тепла и давления: он позволил не только вырабатывать электричество, но и хранить энергию. Предварительные испытания GGS показали, что инновационная технология может конкурировать с традиционными системами хранения энергии, такими как литий-ионные батареи и газовые электростанции. Если все пройдет успешно, запуск первой геотермальной установки запланирован на вторую половину 2025-го года. Этот шаг может привести к массовому внедрению подобных систем на военных базах и других объектах. Руководство проекта заявляет, что его цель — не просто генерация энергии, а повышение устойчивости военной инфраструктуры, особенно в случае перебоев в снабжении. ВВС США подтверждают свою заинтересованность в развитии этой технологии и рассматривают возможность строительства геотермальных станций на всех военных базах. Этот проект отражает, насколько в сегодняшних условиях важно развивать сферу возобновляемых источников энергии для военных нужд. Представители ВВС надеются, что пилотные испытания откроют путь для более широкого использования геотермальной энергии не только в армии, но и в гражданском секторе. А пока компании Baker Hughes и Sage Geosystems проявляют себя лидерами в поиске новых решений для повышения энергетической безопасности США. Ранее мыписалио подобной российской разработке.",https://hi-tech.mail.ru/news/124096-v-amerike-razrabatyvayut-pervye-v-mire-geotermalnye-elektrostancii-dlya-voennyh-celej/
Первая в мире паровая поршневая система зажгла термоядерную плазму в Канаде,1 день назад,"В Канаде впервыеудалось запуститьтермоядерную плазму с помощью системы поршней на паровом приводе. Эту технологию разработала компания General Fusion, базирующаяся в Ричмонде. Ее новый реактор, Lawson Machine 26, стал первым в мире устройством, использующим этот метод для запуска процесса ядерного синтеза. General Fusion работает в области термоядерной энергии с 2002-го года, несмотря на трудности, которые привели к закрытию многих других компаний в этой сфере. В отличие от традиционных токамаков и стеллараторов, устройств, которые используются для удержания и контроля плазмы, ее разработка основана на технологии магнитного целевого синтеза (MTF). Этот метод появился в 1970-х годах в лабораториях ВМС США и задумывался как способ создания компактных термоядерных реакторов. Технология магнитного целевого синтеза (MTF) — это метод получения энергии путем слияния атомов водорода в плазме, который использует магнитные поля для ее удержания и управления ею. В отличие от традиционных токамаков, в MTF плазма создается с помощью мощных электрических разрядов, а затем сжимается магнитными полями, чтобы достичь условий, необходимых для синтеза. Способ эффективнее для большого выделения энергии. Технология MTF использует паровые поршни вместо лазеров или сверхпроводящих магнитов. Сначала топливо, состоящее из дейтерия и трития, подвергается магнитному воздействию, затем поршни сжимают жидкий литий вокруг плазмы, повышая ее температуру. Когда достигается нужный уровень нагрева, начинается реакция синтеза, высвобождающая огромную энергию. Затем жидкий литий передает тепло обменнику, создавая пар для вращения турбины и генерации электричества. Ранее создание устойчивой плазмы считалось сложной задачей, поскольку управление поршнями требовало высокой точности. Современные вычислительные технологии позволили добиться гиперчувствительного уровня контроля, что и привело к успешному запуску. Компания уверена, что ее метод MTF может стать более доступной альтернативой традиционным технологиям термоядерного синтеза. Он не требует дорогостоящих сверхпроводящих магнитов или мощных лазеров, а одна электростанция на основе этой технологии сможет снабжать электричеством до 150 000 домов. Кроме того, эту систему можно использовать на существующих энергетических объектах, что снизит затраты на строительство новых мощностей. Для достижения первого результата компании потребовалось 23 года. За это время было создано 24 инжектора плазмы, проведено более 200 000 экспериментов и зафиксированы нейтроны, возникающие в процессе синтеза. Ранее мыписали, что США испытают «термоядерное одеяло» для производства энергии, подобной солнечной.",https://hi-tech.mail.ru/news/124095-pervaya-v-mire-parovaya-porshnevaya-sistema-zazhgla-termoyadernuyu-plazmu-v-kanade/
Самое передовое световое шоу в мире с 10 000 дронов готовится в Абу-Даби,1 день назад,"В Абу-Дабизапустяткрупнейшее в мире шоу дронов. Его Высочество шейх Халид ибн Мухаммад Аль Нахайян, наследный принц Абу-Даби, присутствовал во время подписания соглашения о стратегическом партнерстве между Департаментом культуры и туризма и компанией Nova Sky Stories, базирующейся в Колорадо. Предстоящее событие выходит за рамки традиционных представлений о развлечениях. В небе над городом одновременно взлетят 10 000 беспилотников. Синхронно двигаясь, они создадут масштабные световые инсталляции. Мероприятие станет частью многолетнего проекта, который объединяет технологии, культуру и искусство. Шоу дронов пройдет в знаковых местах эмирата и превратит городской пейзаж в живое полотно света и движения. Благодаря синхронизации в реальном времени и интеллектуальному управлению, зрелище удивит даже искушенных зрителей. За реализацию проекта отвечает Департамент культуры и туризма Абу-Даби. К созданию шоу привлекли две компании: Nova Sky Stories из США и эмиратскую Analog, специализирующуюся на передовых технологиях и смешанной реальности. Совместные усилия направлены на то, чтобы сделать город мировым центром инновационных развлечений. Пролеты дронов будут посвящены различным тематикам: они раскроют культурные и исторические мотивы через световые образы. Дроны создадут в воздухе динамичные фигуры, узоры и даже голографические сцены, перенося зрителей в увлекательные истории и миры. Можно будет не просто наблюдать за шоу, а воспринимать его на эмоциональном уровне. По словам организаторов, феерия дронов задаст тренд на новый способ повествования в условиях просторных городских территорий. Использование высокотехнологичных беспилотников откроет невиданные ранее возможности для художников и музыкантов, позволив перенести искусство в воздушное пространство. Благодаря этому жители и туристы смогут увидеть совершенно новый формат представлений, где устройства, которые часто используются в военных целях, становятся «кистью» в руках дрон-артдеятелей. Первые выступления запланированы в нескольких ключевых локациях Абу-Даби. Каждое шоу будет уникальным и разработанным специально для своего места проведения. Таким образом, зритель сможет пережить оригинальный опыт, отражающий культурное наследие и будущее эмирата. В перспективе проект может стать регулярной частью городской жизни и одной из главных событийной достопримечательностей региона. Этот шаг укрепляет позиции Абу-Даби как лидера в области развлечений и технологий. Город уже известен своими масштабными культурными инициативами, и запуск самого крупного шоу дронов в мире лишь подтвердит его статус центра инноваций. В будущем, возможно, технологии беспилотников будут использованы для еще более сложных и захватывающих ивентов, объединяющих искусство, историю и современные технологии. Ранее мыписалио новой технологии, которая может одновременно управлять тысячами дронов и автомобилей.",https://hi-tech.mail.ru/news/124094-samoe-peredovoe-svetovoe-shou-v-mire-s-10-000-dronov-gotovitsya-v-abu-dabi/
"Названы 3 витамина, дефицит которых может провоцировать постоянную усталость",1 день назад,"Исследования показывают, что ключевой причиной постоянной усталости может быть не переутомление и общая загруженность, а дефицит ключевых нутриентов. Нейробиолог Лина Бегдаче, доцент Бингемтонского университета Вназвалатри важнейших нутриента, недостаточный уровень которых напрямую связан с хронической усталостью и упадком сил. Все мы знаем, что витамин D жизненно важен для здоровья костей, работы мышц и когнитивных функций. Многие считают этот витамин «детским» но взрослым он нужен не меньше, чем малышам, его дефицит приводит к слабости и постоянной усталости, провоцирует боли в костях и снижение настроения. Исследования показывают, что даже в США — стране, где прием витамина D буквально пропагандируется, до 40% взрослых страдают от его дефицита. Основные пищевые источники витамина D — жирная рыба (лосось, сардины), сыр, обогащенные молочные продукты, яйца. Кроме того, организм может синтезировать витамин D под воздействием солнечного света, но в регионах с низкой солнечной активностью его может быть недостаточно, в таких случаях может потребоваться дополнительный прием добавок. Еще один важный витамин для поддержания энергии — B12. Его дефицит может приводить к анемии и снижению работоспособности. Особенно подвержены дефициту витамина В12 пожилые люди, беременные и кормящие женщины, люди с заболеваниями желудочно-кишечного тракта и те, кто в больших количествах употребляет алкоголь. Витамин B12 содержится в продуктах животного происхождения — в мясе, рыбе, молокопродуктах и яйцах, поэтому вегетарианцам и веганам не обойтись без дополнительного приема добавок с ним. Кстати, согласно результатам многочисленных исследований, витамин B12 из добавок усваивается так же эффективно, как и из пищи, особенно если принимать его во время еды. Омега-3 жирные кислоты также играют ключевую роль в поддержании уровня энергии. Они необходимы для здоровья мозга, помогают бороться с тревожностью, депрессией и повышают когнитивные функции. Но, как и в ситуации с витамином D, жирные кислоты омега-3 частенько считают исключительно «детской» добавкой, в результате около 87% взрослых в возрасте от 40 до 59 лет не получают достаточного количества этих важных для здоровья жирных кислот. Лучшие источники омега-3 — жирная рыба и печень трески. Для веганов хорошей альтернативой могут стать льняное семя, чиа и грецкие орехи. При этом важно учитывать, что омега-3 из рыбы усваиваются организмом лучше, чем из растительных источников, а цельное льняное семя сложнее переваривать, чем молотое. Кроме питания, усталость может быть связана с образом жизни. Например, употребление алкоголя дает временное ощущение расслабления, но в долгосрочной перспективе он приводит к еще большей утомляемости, так как алкоголь является токсином, и организм тратит на его расщепление много энергии. Также спиртное мешает усвоению витаминов группы B. Физическая активность, хоть и требует затрат энергии, стимулирует кровообращение и выработку эндорфинов, которые повышают настроение и уровень энергии. Спорт повышает энергоэффективность организма в целом — для этого достаточно всего 150 минут умеренной активности в неделю — например, ходьбы, плавания или йоги. Не менее важен и здоровый сон. Недостаток отдыха нарушает процессы восстановления в организме и приводит к снижению концентрации и работоспособности. Для оптимального функционирования большинству людей требуется 7−9 часов полноценного сна в сутки. Ранее ученыеназвали5 преимуществ коэнзима Q10 для здоровья.",https://hi-tech.mail.ru/news/124092-nazvany-3-vitamina-deficit-kotoryh-mozhet-provocirovat-postoyannuyu-ustalost/
Компания «М.Видео-Эльдорадо» открыла магазин с ИИ-консультантом,1 день назад,"Компания «М.Видео-Эльдорадо» запустила в Москве магазин нового формата, где технологии искусственного интеллекта напрямую взаимодействуют с покупателями. Торговая точка в ТЦ Botanica Mall стала первой в сети, где клиентов встречает виртуальный консультант Эм.Ви,сообщилпресс-центр компании. Цифровой помощник не просто отвечает на вопросы о товарах, но ведет полноценный диалог с посетителями магазина в режиме реального времени. Технологии распознавания речи позволяют Эм.Ви понимать запросы клиентов и давать релевантные рекомендации по выбору техники. За техническим решением стоит сотрудничество «М.Видео-Эльдорадо» со Sber Metaverse Tech и «СберМаркетингом». Визуальный облик и характер виртуального помощника разработало агентство Instinct. «Мы создали решение, которое дополняет работу живых консультантов. Эм.Ви быстро выдает информацию о характеристиках техники, проводит сравнение моделей и помогает оформить покупку», — рассказал Василий Большаков, директор по маркетингу группы «М.Видео-Эльдорадо». Технологически ИИ-консультант представляет собой комплексную систему. В ее основе лежит большая языковая модель (LLM), настроенная на фирменный стиль бренда. Она интегрирована с поисковым движком компании, что позволяет выдавать точные ответы по ассортименту. Синхронизация движения губ с речью (липсинк) в реальном времени создает эффект живого общения. Помимо технологического новшества, магазин в Botanica Mall выделяется продуманным дизайном. Интерьер разработало агентство LINII. Ключевые элементы — яркий красный цвет, динамичные элементы логотипа и функциональные торговые стеллажи. Для навигации служат красные торцы стеллажей, а сочетание светлой текстуры дерева с графитовым паттерном на стенах создает уютную атмосферу. Открытие магазина приурочили к 32-летию компании. В рамках события «М.Видео-Эльдорадо» и «СберМаркетинг» подписали соглашение о дальнейшем сотрудничестве в области цифровых аватаров и других ИИ-технологий. «Цифровые технологии становятся неотъемлемой частью торговли. Мы внедряем передовые решения, чтобы сделать покупки максимально удобными», — отметили в пресс-службе. Новый формат магазина с ИИ-консультантом демонстрирует, как технологии меняют привычный опыт покупок. Интеграция искусственного интеллекта в торговлю выходит за рамки онлайн-сервисов и становится частью физического пространства магазинов. Успех такого подхода зависит от того, насколько естественным и полезным будет взаимодействие виртуального помощника с реальными покупателями. Также стало известно, что российские ИИ-разработки могут помочь не только в ритейле, но и в производстве техники. Ученые разработали технологию для выявления дефектов в материалах и конструкциях аппаратуры. Рассказали об этом встатье.",https://hi-tech.mail.ru/news/124091-kompaniya-mvideo-eldorado-otkryla-magazin-s-ii-konsultantom/
Bloomberg: в наушниках AirPods появится функция синхронного перевода,1 день назад,"Компания Appleпланируетвнедрить в AirPods функцию перевода разговора на другой язык в режиме реального времени. Эта возможность появится в следующей версии ПО AirPods, которое должно выйти в конце этого года. Проект будет привязан к предстоящему большому обновлению iOS 19. Функция будет работать так: при телефонном разговоре англоговорящего пользователя с испанцем, iPhone переведет речь последнего и передаст ее на AirPods, а ответ на английском будет переведен на испанский язык и воспроизведен на iPhone собеседника. Обновление AirPods является частью более масштабной перестройки программного обеспечения Apple в этом году. Компания планирует самую масштабную переработку iOS в дополнение к редизайну macOS, стремясь обновить операционки для нового поколения юзеров. Напомним, в прошлом году Apple встроила в свои наушники функцию слухового аппарата, а также раскрасила AirPods Max и бюджетные модели AirPods 4 в разные цвета. Кроме того, «яблочники» все еще работает над новыми AirPods Pro третьего поколения, использующими ИИ-модель со встроенными камерами для анализа окружающей среды. К слову, прямой конкурент AirPods — Google Pixel Buds уже много лет имеют функцию перевода в своем арсенале, у Apple же было только фирменное приложение Translate на iPhone. Представители компании Apple, отказались от комментариев по поводу выпуска новой функциональности своих наушников и поэтому всем поклонникам AirPods придется дождаться обновления, чтобы протестировать новый режим. Читайте также нашустатьюо том, когда Apple добавит в AirPods «умное зрение».",https://hi-tech.mail.ru/news/124089-v-airpods-poyavitsya-funkciya-perevoda/
На Неделе моды в Париже представили сумку-светильник: уже в продаже,1 день назад,"Студия дизайна Gantri из Лос-Анджелеса (США)представилна Неделе моды в Париже светящуюся сумку Bag Table Light. Это сумка-светильник, которую можно носить по квартире, освещая все вокруг. Создатели сумки называют ее предметом, «стирающим грань между кутюр и декором». Отделка аксессуара напечатана на 3D-принтере с использованием растительного полупрозрачного полимера. Габариты Bag Table Light: 30,48 х 26,67 х 14,6 см. Внутри установлены две светодиодные лампы E12 с регулируемой яркостью. Цветовая температура — 2700K, яркость — 600 люменов при мощности 6,4 Вт. Внутри нет аккумулятора, а питание осуществляется с помощью встроенного несъемного кабеля. Сумка была разработана совместно с дизайнерами модного бренда Tombogo из Калифорнии. Главный минус вещицы — у нее нет ни одного кармана или отдела для хранения вещей. Модно, стильно, молодежно? Да. Практично? Не совсем. Стоимость Bag Table Light —398 долларов (34 000 рублей). Продажи уже стартовали в США.",https://hi-tech.mail.ru/news/124088-na-nedele-mody-v-parizhe-predstavili-sumku-svetilnik/
ФАС выдала предупреждение Ozon и Wildberries за слишком низкие цены,1 день назад,"Недавно ассоциация РАТЭКобратиласьв Федеральную антимонопольную службу России (ФАС) с жалобой на маркетплейсы. По мнению торговых компаний, Wildberries, Ozon и другие площадки искусственно занижают цену товаров, продают их ниже себестоимости и создают неконкурентные условия для розницы. Из-за чего продажи в оффлайн-магазинах упали на 16%. Теперь же ФАСвыставилатребования Ozon и Wildberries опубличить и обосновать внутренние механизмы автоматических акций, которые устанавливают скидки на товары за счет продавца или самого маркетплейса. Иначе, при наличии оснований, против упомянутых торговых площадок будет возбуждено дело о нарушении антимонопольного законодательства. Как считают специалисты, требования ФАС не приведут к большим изменениям в ценообразовании на маркетплейсах — у торговых площадок все еще остаются механизмы осуществления нужной им ценовой политики. Так, онлайн-магазины уже используют стратегию соинвестирования, различные типы скидок и прочее, что не нарушает законодательство России. Дальнейшие попытки повлиять на механизм установки цен просто приведут к появлению новых «тактик» — вместо соинвестирования появятся эксклюзивные промокоды или кэшбек. А полный запрет на скидки за счет продавцов ничего не изменит для покупателя, но повлияет на алгоритмы платформы — маркетплейсам придется искать другие пути заработка. Прямо сейчас вице-премьер Дмитрий Григоренко курирует новый законопроект, который призван урегулировать процесс предоставления скидок на товары. По идее, он обяжет маркетплейсы уведомлять продавцов о снижении цены за 14 дней, при этом получая на то согласие. И процедура будет обязательна для скидок за счет продавца и за счет торговой площадки. До конца марта законопроект «О платформенной экономике» вынесут на рассмотрение депутатов Государственной Думы. Если он будет принят, то закон вступит в силу уже осенью этого года. Но в ассоциации торговых компаний РАТЭК считают, что подобные меры не смогут кардинально повлиять на ситуацию — их банально недостаточно. А вы знали, что маркетплейс Wildberriesпредставилсобственную видеоплатформу Wibes? Новое приложение для покупателей, продавцов и блогеров позволит выбирать и приобретать товары с помощью 90-секундных роликов. Причем это могут быть как подборки или обзоры, так и любой другой контент — в том числе фотографии.",https://hi-tech.mail.ru/news/124087-fas-vydala-preduprezhdenie-ozon-i-wildberries-za-slishkom-nizkie-ceny/
Загадочные спирали возникли на германиевом чипе (фото),1 день назад,"Ученый Калифорнийского университета в Лос-Анджелесе (UCLA) Йилин Вонг обнаружила неожиданную находку: на образце, который она случайно оставила на ночь, появились мелкие точки. Образец представлял собой пластину германия, покрытую металлическими пленками, взаимодействующими с каплей воды. Из любопытства она решила рассмотреть эти точки под микроскопом и была поражена увиденным. На поверхности германия образовались красивые спиральные узоры, созданные в результате химической реакции. ПоданнымPhys.org, заинтересованность Вонг привела ее к открытию ранее неизвестного явления: сотни практически одинаковых спиральных структур могут самопроизвольно возникать на площади размером с квадратный сантиметр на германиевом чипе. Изменение толщины металлической пленки приводило к преображению внешнего вида спиралей. Для изучения механизмов формирования узоров Вонг вместе с профессором физики Калифорнийского университета в Лос-Анджелесе Джованни Зокки провели серию экспериментов. Они использовали систему, состоящую из германиевой пластины, покрытой слоем хрома толщиной 10 нанометров, поверх которого наносился слой золота толщиной 4 нанометра. После этого на поверхность помещалась капля мягкого травильного раствора, которую сушили на протяжении ночи. Затем пластину промывали и снова инкубировали в той же среде во влажной камере, предотвращающей испарение жидкости. Через 24−48 часов после начала химической реакции, ускоряемой металлической пленкой, на поверхности германия начали появляться удивительные узоры. Исследование показало, что слои хрома и золота подверглись напряжению и постепенно отделялись от основы по мере развития каталитической реакции. Возникшее напряжение создало морщины в металлической пленке, которые, продолжая катализироваться, формировали замысловатые узоры, замеченные учеными. «Толщина металлического слоя, начальное состояние механического напряжения образца и состав травильного раствора играют важную роль в определении типа формирующегося рисунка», — отмечает профессор Зокки. Одним из наиболее интересных выводов исследования стало понимание того, что формирование узоров обусловлено не только химическими процессами, но и остаточным напряжением в металлической пленке. Оказалось, что первичное напряжение или сжатие металла играет ключевую роль в формировании конечных структур. Таким образом, химические и механические процессы действовали совместно, создавая наблюдаемые узоры. Ранее ученые впервые сделали свет твердым и жидким.Рассказали, как это возможно.",https://hi-tech.mail.ru/news/124074-zagadochnye-spirali-voznikli-na-germanievom-chipe-foto/
Samsung выпустит наушники с костной проводимостью звука: что известно,1 день назад,"Южнокорейский технологический гигант Samsung скоро добавит в свой ассортимент совершенно новый тип устройств. Поданнымизвестного инсайдера Digital Chat Station, компания разрабатывает свои первые наушники с костной проводимостью звука под кодовым названием Able. Презентация необычного аудиоустройства пройдет на том же мероприятии Samsung Unpacked, где миру покажут новые складные смартфоныGalaxy Z Fold 7 и Galaxy Z Flip 7. Судя по утечкам, событие запланировано на июль этого года. В отличие от популярной линейкиGalaxy Buds, новый продукт не нужно вставлять в ушной канал. Наушники располагаются на височных или скуловых костях, а звук передается через них прямо во внутреннее ухо, минуя барабанную перепонку. Такой принцип работы делает прослушивание музыки более безопасным — вы слышите все, что происходит вокруг. Технология костной проводимости не нова, но только сейчас она стала привлекать массовое внимание. На недавней выставкеMWC 2025многие посетители уже отдали предпочтение таким наушникам вместо традиционных вкладышей или накладных моделей. Главное преимущество подобных устройств — в их практичности для активного образа жизни. Бегуны и велосипедисты могут слушать музыку или подкасты, одновременно контролируя дорожную обстановку. Офисные работники услышат, когда к ним обращаются коллеги, не снимая наушники. Любители долгих аудиосессий забудут о дискомфорте в ушах от продолжительного ношения. Samsung придется конкурировать с уже известными производителями таких наушников, среди которых лидирует компанияAudio-Technica. Однако мощный технологический потенциал и широкая сеть дистрибуции дают Samsung значительное преимущество. Эксперты считают, что выход корейского гиганта на этот рынок сделает технологию костной проводимости более доступной для пользователей по всему миру. Особенно это касается регионов, где такие наушники сейчас трудно найти или их цена необоснованно высока. Некоторые источники намекают, что Samsung может удивить нас гибридной технологией, сочетающей костную проводимость с традиционной воздушной. Это позволит достичь лучшего качества звука при сохранении всех преимуществ открытой конструкции. По мнению аналитика Мин-Чи Куо, известного точными прогнозами в мире технологий, рынок наушников с костной проводимостью вырастет на 38% в ближайшие два года. Выход Samsung в этот сегмент только ускорит его развитие. Компания пока хранит молчание относительно технических характеристик, функций и стоимости новинки. Эти подробности, вероятно, станут известны ближе к дате презентации или непосредственно на ней. Также стало известно о других новинках бренда: Samsung представила набор телевизоров для фанатов баскетбола. Рассказалив статье, чем они отличаются от обычных.",https://hi-tech.mail.ru/news/124073-samsung-vypustit-naushniki-s-kostnoj-provodimostyu-zvuka-chto-izvestno/
