Заголовок,Время публикации,Описание,Ссылка
Российские ученые предложили искать новую физику в гамма-всплесках,"26 апреля 2025, 14:14","© Ferra.ru Спиновый свет возникает, если нейтрино с ненулевой массой и магнитным моментом меняет ориентацию спина в плотных средах, испуская фотоны. В обычных условиях такое излучение слабо, но в экстремальных астрофизических объектах, например, в гамма-всплесках, его интенсивность может возрасти. Эти вспышки, возникающие при слиянии нейтронных звезд, считаются источниками высокоэнергетических нейтрино. Теоретическую основу явления заложили еще в 2002 году физики Алексей Лобанов и Александр Студеникин. Однако до сих пор его существование не подтверждено. Открытие спинового света потребует пересмотра современных представлений о нейтрино, что вызывает дискуссии в научном сообществе, отметили в центре. Ученые из МФТИ, включая Студеникина, Александра Григорьева и Алексея Тернова, проанализировали возможные источники излучения. Наиболее перспективными они назвали гамма-всплески, где сочетаются высокая плотность материи и большое количество нейтрино. Следующим шагом станет детальное изучение факторов, влияющих на спиновый свет в компактных объектах: движения вещества, его поляризации и свойств излучения. Это поможет выделить сигнал на фоне других космических процессов. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/rossiiskie-uchenye-predlozhili-iskat-novuyu-fiziku-v-gamma-vspleskakh-26-04-2025.htm
НПЗ в Москве ввел в эксплуатацию цифровую станцию смешения бензина,"26 апреля 2025, 14:11","© Ferra.ru Станция разработана специалистами НПЗ на основе отечественного программного обеспечения. Она автоматически смешивает до десятка компонентов в реальном времени, контролируя точность рецептуры. Это позволило отказаться от 30 единиц оборудования, сократив нагрузку на окружающую среду. По данным завода, технология также повысила эффективность производства. Гарбузов отметил, что Москва поддерживает экологическую модернизацию предприятий. Каждое второе промышленное производство в столице внедряет «зеленые» проекты. Цель — создать баланс между бизнесом и природой, следуя принципам социальной ответственности. Гендиректор Московского НПЗ Виталий Зубер добавил, что цифровизация — ключевой элемент развития завода. Предприятие выпускает более 30 видов продукции, включая бензин и дизель класса «Евро-5», авиакеросин и битум. Ежегодно здесь перерабатывают свыше 12 млн тонн нефти. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/npz-v-moskve-vvel-v-ekspluataciyu-cifrovuyu-stanciyu-smesheniya-benzina-26-04-2025.htm
Google закончила редизайн своего приложения с картами Maps,"26 апреля 2025, 14:00","© Google Обновление, замеченное в версии Google Maps 25.16.06, распространяется на все основные разделы приложения. Листы — это полупрозрачные панели, которые «скользят» поверх карты, сохраняя контекст местоположения. По словам экспертов, такой дизайн оптимизирует использование экранного пространства, особенно на смартфонах. Изменения пока эксклюзивны для Android, и дата появления на iOS остаётся неизвестной. Редизайн следует за другими нововведениями, включая упрощённую нижнюю панель с тремя вкладками, запущенную в августе 2024 года. Обновление уже доступно на большинстве устройств. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/google-zakonchila-redizain-svoego-prilozheniya-s-kartami-maps-25-04-2025.htm
Россия ускорила внедрение отечественного ПО,"26 апреля 2025, 13:23","© Ferra.ru Особых успехов, по мнению Григоренко, добился финансовый сектор. Банки не только переходят на готовые российские решения, но и инвестируют в разработку собственных. Вице-премьер подчеркнул, что ключевой задачей остается тиражирование таких решений для массового использования. Примером стал Россельхозбанк, который в 2024 году завершил импортозамещение ПО на критически важных объектах. Инвестиции банка в отечественные ИТ-технологии превысили 20,5 млрд рублей, еще 9,3 млрд направили на радиоэлектронную продукцию. В реестре Минцифры зарегистрировано 34 программных продукта банка. Глава Россельхозбанка Борис Листов добавил, что в 2024 году интенсивность DDoS-атак на инфраструктуру учреждения удвоилась по сравнению с предыдущим годом. Однако все атаки были нейтрализованы благодаря системе кибербезопасности. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/rossiya-uskorila-vnedrenie-otechestvennogo-po-26-04-2025.htm
Аккумуляторы Google Pixel 7a стали вздуваться,"26 апреля 2025, 13:15","© Google Чтобы проверить, подпадает ли смартфон под программу, владельцы Pixel 7a должны ввести IMEI-номер — уникальный идентификатор устройства — на сайте Google. Программа действует в США, Индии, Канаде, Великобритании, Германии, Японии и Сингапуре, где доступны ремонтные центры с возможностью личной или почтовой замены. В других странах, таких как Австралия или Тайвань, предлагаются альтернативные компенсации, включая скидки на новые устройства Pixel. Программа не продлевает стандартную гарантию и ограничена запасами батарей. Google призывает владельцев с признаками вздутия срочно проверить устройство, чтобы избежать рисков. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/akkumulyatory-google-pixel-7a-stali-vzduvatsya-25-04-2025.htm
РКН усомнился в эффективности маркировки игр,"26 апреля 2025, 12:35","© Ferra.ru Законопроект, внесенный в Госдуму в декабре 2024 года, обязывает разработчиков информировать игроков о содержании продуктов. Однако представители игровой индустрии, включая АПРИОРИ и АИИ, направили поправки, указав на риски. Среди проблем — возможная недобросовестная конкуренция из-за сложной экспертизы контента, а также спорные нормы, касающиеся внутриигровых покупок и виртуального имущества. Липов подчеркнул, что при реализации закона важно учитывать интересы российских разработчиков. Он призвал к диалогу между всеми участниками рынка: создателями игр, владельцами платформ и игроками. По мнению главы РКН, только совместная работа позволит решить проблемы, с которыми сталкивается индустрия. Отдельное внимание уделено оценке эффективности нововведений. Липов предложил разработать механизмы, которые покажут, достигает ли маркировка заявленных целей. Это поможет избежать избыточного регулирования и сохранить баланс между защитой пользователей и развитием отрасли. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/rkn-usomnilsya-v-effektivnosti-markirovki-igr-26-04-2025.htm
Xiaomi заняла только третье место в продажах на рынке смартфонов Китая,"26 апреля 2025, 12:30","© Ferra.ru Vivo заняла второе место с 17% долей рынка, укрепив позиции за счёт бюджетной серии Y и флагманской X200 с продвинутыми камерами. Xiaomi, показавшая двузначный рост, получила 16,6% рынка, заняв третье место. OPPO и Apple расположились на четвёртой и пятой позициях с 14,6% и 14,1% соответственно, при этом Apple столкнулась с падением продаж на 7,7%. © Counterpoint Китайский рынок смартфонов в целом вырос на 2,5% по сравнению с прошлым годом. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/xiaomi-zanyala-tolko-trete-mesto-v-prodazhakh-na-rynke-smartfonov-kitaya-25-04-2025.htm
М.Видео-Эльдорадо объявила скидки на смартфоны и умные часы Huawei,"26 апреля 2025, 12:00","© Huawei Складной смартфон HUAWEI Mate X6 со сверхтонким корпусом, гибким экраном и камерой для реалистичной съемки теперь стоит 129 999 рублей. Флагманский Mate 70 Pro предлагается по цене 79 999 рублей. Модель Pura 70, оснащенная системой камер с поддержкой макрозума и сверхпрочного стекла Kunlun, доступна за 54 999 рублей, а продвинутая версия Pura 70 Pro — за 69 999 рублей. Среди более доступных решений — HUAWEI nova 13 с фронтальной камерой 60 МП и быстрой зарядкой 100 Вт, стоимостью 29 999 рублей. Улучшенная версия nova 13 Pro обойдется в 31 999 рублей, а nova 12s — в 23 999 рублей. Также в акции участвуют носимые устройства. HUAWEI WATCH D2 с функцией измерения давления и мониторинга здоровья стоят 26 999 рублей. Флагманские WATCH GT 5 начинаются от 12 999 рублей, а улучшенные WATCH GT 5 Pro — от 29 999 рублей. Более легкие WATCH FIT 3 можно купить от 8 999 рублей. Среди планшетов доступны HUAWEI MatePad SE 11” с металлическим корпусом и экраном FullView по цене 13 999 рублей и MatePad 11,5” S с антибликовым экраном PaperMatte от 25 999 рублей. Акция продлится до 5 мая и действует в розничных магазинах и онлайн. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/m-video-eldorado-obyavila-skidki-na-smartfony-i-umnye-chasy-huawei-25-04-2025.htm
Xiaomi обвинили в принуждении к 11 часовой смене и штрафовании за отпуск,"26 апреля 2025, 11:45","© Ferra.ru Несколько сотрудников Xiaomi подтвердили эти заявления изданию Jiupai News. По их словам, в разных отделах работают по-разному: одни команды требуют 10,5 часов в день, другие - до 15. По сообщениям, одна команда работает по 12,5 часов в день. Эти правила часто передаются устно, чтобы не создавать официальных записей. Один сотрудник из Шанхая рассказал, что их команда работает с 9 утра до 8:30 вечера. Другой сотрудник из Цзянсу сообщил о 12-часовом рабочем дне, но все равно подвергся критике за то, что работает меньше, чем его коллеги. Сотрудники, которые берут отгулы, как сообщается, подвергаются наказанию, поскольку даже один выходной может снизить среднюю продолжительность рабочего дня и привести к дополнительной проверке. Некоторые говорят, что эта система действует уже почти два года. Xiaomi не давала публичных комментариев. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/xiaomi-obvinili-v-prinuzhdenii-k-11-chasovoi-smene-i-shtrafovanii-za-otpusk-25-04-2025.htm
Вице-премьер РФ Дмитрий Чернышенко призвал контролировать этику ИИ в образовании,"26 апреля 2025, 11:31","© Ferra.ru Чернышенко обратил внимание на важность соблюдения принципов, закрепленных в кодексе, включая приоритет человеческого общения и информированное использование ИИ. Он также отметил, что в некоторых странах уже введены жесткие ограничения на использование ИИ в учебном процессе. Например, студент может быть отчислен, если он сдает работу, написанную с помощью ИИ, и это будет доказано. Вице-премьер заявил, что необходимо регулярно обновлять кодекс этики, учитывая риски, которые могут возникнуть для учащихся, преподавателей и образовательной сферы в целом. Важность этой проблемы заключается в том, чтобы технологии оставались помощниками в обучении, не нарушая принципы академической честности и развивая правильные навыки у учащихся. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/vice-premer-rf-dmitrii-chernyshenko-prizval-kontrolirovat-etiku-ii-v-obrazovanii-26-04-2025.htm
"iPhone 16 настолько прочен, что вам не нужен чехол, заявила Apple","26 апреля 2025, 11:00","© Ferra.ru Производители телефонов обычно избегают говорить, что вам не нужен чехол - возможно, чтобы избежать жалоб или продолжать продавать аксессуары. Но Apple наоборот подчеркивает более прочное стекло iPhone 16, изготовленное с использованием керамических кристаллов, чтобы лучше противостоять падениям и царапинам. Тем не менее, в рекламе все сделано аккуратно. В ней не показаны реальные риски падения, например, на кафель или тротуар. А ещё Apple не сообщила, будет ли она покрывать ущерб от падения без чехла. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/iphone-16-nastolko-prochen-chto-vam-ne-nuzhen-chekhol-zayavila-apple-25-04-2025.htm
Школьная олимпиада по робототехнике и дронам появится в России,"26 апреля 2025, 10:52","© Ferra.ru Ежегодно во Всероссийской олимпиаде участвуют около 7 млн школьников из всех регионов страны. Победители и призеры получают дипломы, которые действуют четыре года и позволяют поступать в ведущие вузы без экзаменов по профилю. В текущем учебном году в региональном этапе соревнований участвовали более 185 тыс. учащихся. Новое направление по робототехнике и дронам призвано поддержать интерес школьников к современным технологиям. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/shkolnaya-olimpiada-po-robototekhnike-i-dronam-poyavitsya-v-rossii-26-04-2025.htm
Роботы-водители ускорят переход к автономному транспорту в России,"26 апреля 2025, 10:49","© Ferra.ru Такие устройства, по его словам, могут быть похожи на «робота-осьминога» с манипуляторами. Эти роботы не только управляют транспортом, но и выполняют другие задачи, такие как заправка автомобилей. Это решение, считает Нащекин, потребует меньших затрат и времени, чем создание полностью беспилотных автомобилей. Кроме того, он отметил, что технологии могут быстро устаревать, а производство новой машины занимает несколько лет. Также в обсуждении принял участие Дмитрий Куликов, заместитель генерального директора компании «ЭвоКарго», который рассказал о двух подходах к развитию автономного транспорта. Один из них включает создание «умных» автомобилей, не нуждающихся в дополнительной инфраструктуре, а другой — в использовании «умных» дорог с сенсорами и связью. Оба направления могут быть объединены для повышения безопасности и эффективности транспортных систем. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/roboty-voditeli-uskoryat-perekhod-k-avtonomnomu-transportu-v-rossii-26-04-2025.htm
Билайн представил отказоустойчивое облако для бизнеса,"26 апреля 2025, 10:31","© Ferra.ru Cloud Compute MetroCluster позволяет предприятиям размещать свою IT-инфраструктуру в двух дата-центрах в Москве с мгновенной репликацией данных. В случае аварии в одном из центров обработки данных сервисы остаются доступными, что значительно повышает отказоустойчивость. Платформа интегрируется с публичным облаком Beeline Cloud и сторонними сервисами, что позволяет легко адаптировать ее к существующим бизнес-процессам. Кроме того, решение позволяет развертывать инфраструктуру всего за несколько часов без необходимости покупки собственного оборудования. Cloud Compute MetroCluster ориентирован на крупный и средний бизнес, включая финансовый сектор, телеком-операторов, государственные организации и промышленные предприятия. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/bilain-predstavil-otkazoustoichivoe-oblako-dlya-biznesa-26-04-2025.htm
Поддерживаемый главой Amazon стартап показал конкурента электромобилям Tesla,"26 апреля 2025, 10:15","© Slate Auto Представленный в Лонг-Бич, штат Калифорния, EV-пикап Slate не имеет ни краски, ни сенсорного экрана, ни даже электрических стеклоподъемников. Вместо этого он отличается прочным дизайном без излишеств и обещает стоить менее 20 000 долларов после вычета налогов, когда он появится в 2026 году. Запас хода на стандартной батарее составляет 150 миль (240 км), а на более мощной - около 240 миль (385 км). Он может тащить до 450 кг и перевозить полезную нагрузку в 635 кг. Вместо двигателя - передний багажник с пространством для хранения. Что действительно отличает Slate, так это его внимание к персонализации. Покупатели могут выбрать из более чем 100 аксессуаров или выбрать стартовый набор. Покраска не предусмотрена; вместо этого вы можете обтянуть его самостоятельно или заплатить за это. Машину можно даже превратить из пикапа в пятиместный внедорожник и обратно. © Slate Auto ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/auto/podderzhivaemyi-glavoi-amazon-startap-pokazal-konkurenta-elektromobilyam-tesla-25-04-2025.htm
"Артист Владимир Машков заявил, что ИИ не заменит живое общение в театре","26 апреля 2025, 10:13","© Ferra.ru Машков, возглавляющий Союз театральных деятелей РФ, отметил, что современные инструменты помогают создавать эффектные сценические решения. Например, автоматизированный свет, следующий за актерами, упрощает постановку. Однако технологии, по его словам, лишь дополняют искусство, а не становятся его основой. Артист подчеркнул, что эмоциональная связь между сценой и залом — главная ценность театра. Даже совершенный ИИ не сможет передать чувства, которые рождаются в момент живого выступления. Машков убежден: пока зритель и актер делят одно пространство, технологии останутся вспомогательным элементом. При этом он не отрицает роль инноваций в развитии художественных форм. Некоторые спектакли, по его словам, требуют сложных визуальных решений, где технические новшества усиливают восприятие. Но ключевым элементом всегда остается человеческое исполнение. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/artist-vladimir-mashkov-zayavil-chto-ii-ne-zamenit-zhivoe-obshenie-v-teatre-26-04-2025.htm
Honor выпустит бюджетный смартфон X70i с 6000 мАч и ярким дисплеем,"26 апреля 2025, 09:30","© Honor Под капотом у него находится чип MediaTek Dimensity 7025 Ultra, и он поставляется в трех версиях: 8 ГБ ОЗУ и 256 ГБ памяти, 12 ГБ/256 ГБ и 12 ГБ/512 ГБ. Варианты расцветки включают фиолетовый, черный, белый и синий. Для фотосъемки X70i предлагает заднюю камеру с высоким разрешением 108 МП и фронтальную камеру 8 МП для селфи. Он также оснащен большим аккумулятором емкостью 6 000 мАч, поддерживающим быструю зарядку 35 Вт. Среди других характеристик - Android 15 с MagicOS 9.0, встроенный в дисплей датчик отпечатков пальцев и защита от пыли и брызг по стандарту IP65. Телефон доступен для предварительного заказа в Китае по цене от CNY 1 399 (около $191). Его релиз намечен на 30 апреля, но о международной доступности пока ничего не известно. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/honor-vypustit-byudzhetnyi-smartfon-x70i-s-6000-mach-i-yarkim-displeem-25-04-2025.htm
Первый в России класс для подготовки инженеров по автоматизации открылся в Карелии,"26 апреля 2025, 09:21","© Ferra.ru Этот проект стал частью федерального проекта по подготовке кадров для электронной промышленности, который направлен на снижение зависимости от иностранных технологий. В классе установлены современные устройства на базе российских программируемых логических контроллеров, что позволит студентам осваивать актуальные навыки и разрабатывать программное обеспечение для автоматизации процессов на производстве. Вице-губернатор Карелии Артур Парфенчиков отметил, что подобные инициативы помогают укрепить технологический суверенитет страны и открывают новые возможности для молодых ученых. В регионе активно поддерживают развитие научных проектов, которые способствуют развитию высокотехнологичной промышленности. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/pervyi-v-rossii-klass-dlya-podgotovki-inzhenerov-po-avtomatizacii-otkrylsya-v-karelii-26-04-2025.htm
